SSC_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SSC40001,1352,116,51,16,3,0,3,1550
SSC40002,416,28,8,0,0,0,0,454
SSC40003,0,0,0,0,0,0,0,0
SSC40004,19,0,0,0,0,0,0,19
SSC40005,0,0,0,0,0,0,0,3
SSC40006,180,10,3,0,0,0,0,198
SSC40007,145,19,11,5,0,0,0,173
SSC40008,434,28,7,3,0,0,3,475
SSC40009,45,9,7,3,0,0,0,67
SSC40010,943,117,99,12,0,0,3,1176
SSC40011,17,0,0,0,0,0,0,12
SSC40012,219,11,4,0,0,0,0,236
SSC40013,60,8,0,3,0,0,0,70
SSC40014,12,4,0,0,0,0,0,20
SSC40015,11,0,0,0,0,0,0,13
SSC40016,15,0,0,0,0,0,0,13
SSC40017,30,6,0,8,0,0,3,49
SSC40018,0,0,0,0,0,0,0,0
SSC40019,17,0,0,0,0,0,0,14
SSC40020,0,0,0,0,0,0,0,0
SSC40021,0,0,0,0,0,0,0,0
SSC40022,14,0,0,0,0,0,0,15
SSC40023,21,3,0,0,0,0,0,27
SSC40024,0,0,0,0,0,0,0,0
SSC40025,5,0,0,0,0,0,0,5
SSC40026,719,97,81,22,7,5,7,932
SSC40027,9,0,0,0,0,0,0,9
SSC40028,4,0,0,0,0,0,0,10
SSC40029,199,18,6,0,0,0,0,227
SSC40030,152,7,10,5,0,0,0,171
SSC40031,437,27,20,3,0,0,5,496
SSC40032,0,0,0,0,0,0,0,3
SSC40033,0,0,0,0,0,0,0,0
SSC40034,0,0,0,0,0,0,0,0
SSC40035,4,0,0,0,0,0,0,4
SSC40036,8,0,0,0,0,0,0,8
SSC40037,0,0,0,0,0,0,0,0
SSC40038,54,6,3,3,0,0,0,72
SSC40039,0,0,0,0,0,0,0,0
SSC40040,43,3,0,0,0,0,0,46
SSC40041,26,0,0,0,0,0,0,28
SSC40042,9,0,0,0,0,0,0,11
SSC40043,256,26,5,8,0,0,0,294
SSC40044,25,3,4,0,0,0,4,32
SSC40045,76,6,0,0,0,0,0,84
SSC40046,65,7,0,0,0,0,0,72
SSC40047,4,0,0,0,0,0,0,4
SSC40048,1277,55,39,7,0,0,3,1378
SSC40049,219,8,12,3,0,3,4,253
SSC40050,52,9,0,0,0,0,0,59
SSC40051,90,3,3,3,0,0,0,98
SSC40052,3,0,0,0,0,0,0,3
SSC40053,13,0,0,0,0,0,0,14
SSC40054,17,0,0,0,0,0,0,16
SSC40055,11,0,0,0,0,0,0,10
SSC40056,11,0,0,0,0,0,0,11
SSC40057,11,0,0,0,0,0,0,10
SSC40058,0,0,0,0,0,0,0,0
SSC40059,0,0,0,0,0,0,0,0
SSC40060,0,0,0,0,0,0,0,0
SSC40061,179,9,9,3,0,0,5,201
SSC40062,3,0,0,0,0,0,0,3
SSC40063,0,0,0,0,0,0,0,0
SSC40064,5,0,0,0,0,0,0,3
SSC40065,177,18,9,4,0,0,0,202
SSC40066,0,0,0,0,0,0,0,0
SSC40067,12,0,0,0,0,0,0,12
SSC40068,4,0,0,0,0,0,0,3
SSC40069,379,34,22,0,0,0,0,437
SSC40070,20,0,0,0,0,0,0,18
SSC40071,3,0,0,0,0,0,0,3
SSC40072,201,16,14,0,0,0,0,239
SSC40073,0,0,0,0,0,0,0,0
SSC40074,3,0,0,0,0,0,0,3
SSC40075,3,0,0,0,0,0,0,3
SSC40076,7,0,0,0,0,0,0,6
SSC40077,3,0,0,0,0,0,0,3
SSC40078,36,0,0,0,0,0,0,44
SSC40079,7,0,0,0,0,0,0,5
SSC40080,8,0,0,0,0,0,0,8
SSC40081,49,3,0,0,0,0,0,55
SSC40082,0,0,0,0,0,0,0,0
SSC40083,10,0,0,0,0,0,0,11
SSC40084,333,26,14,7,0,0,5,375
SSC40085,0,0,0,0,0,0,0,0
SSC40086,110,4,0,0,0,0,0,122
SSC40087,3,0,0,0,0,0,0,7
SSC40088,547,44,18,0,0,0,0,612
SSC40089,9,0,0,0,0,0,0,9
SSC40090,10,0,0,0,0,0,0,10
SSC40091,255,18,3,0,0,0,0,277
SSC40092,0,0,0,0,0,0,0,4
SSC40093,0,0,0,0,0,0,0,0
SSC40094,12,0,0,0,0,0,0,18
SSC40095,0,0,0,0,0,0,0,0
SSC40096,298,30,16,0,0,0,5,347
SSC40097,23,0,3,0,0,0,0,25
SSC40098,4,0,0,0,0,0,0,4
SSC40099,160,15,3,0,0,0,0,179
SSC40100,137,11,6,0,0,0,0,156
SSC40101,38,0,0,0,0,0,0,38
SSC40102,0,0,0,0,0,0,0,0
SSC40103,10,0,0,0,0,0,0,17
SSC40104,0,0,0,0,0,0,0,0
SSC40105,8,0,0,0,0,0,0,9
SSC40106,4,0,0,0,0,0,0,4
SSC40107,157,13,4,0,0,0,0,171
SSC40108,138,19,4,3,0,0,0,171
SSC40109,197,7,11,0,0,0,0,214
SSC40110,0,0,0,0,0,0,0,3
SSC40111,0,0,0,0,0,0,0,0
SSC40112,3,0,0,0,0,0,0,3
SSC40113,5,0,0,0,0,0,0,4
SSC40114,7,0,0,0,0,0,0,7
SSC40115,3,0,0,0,0,0,0,3
SSC40116,6,0,0,0,0,0,0,6
SSC40117,451,34,12,3,0,0,0,507
SSC40118,427,24,15,5,0,0,3,477
SSC40119,739,85,64,9,0,0,6,907
SSC40120,55,3,0,0,0,0,0,60
SSC40121,3,0,0,0,0,0,0,3
SSC40122,15,4,0,0,0,0,0,21
SSC40123,13,0,0,0,0,0,0,15
SSC40124,38,3,3,4,0,0,0,43
SSC40125,0,0,0,0,0,0,0,0
SSC40126,0,0,0,0,0,0,0,0
SSC40127,57,3,5,0,0,0,0,70
SSC40128,4,0,0,0,0,0,0,8
SSC40129,0,0,0,0,0,0,0,0
SSC40130,3,0,0,0,0,0,0,3
SSC40131,5,3,0,0,0,0,0,8
SSC40132,0,0,0,0,0,0,0,0
SSC40133,0,0,0,0,0,0,0,0
SSC40134,0,0,0,0,0,0,0,0
SSC40135,14,0,3,0,0,0,0,24
SSC40136,15,0,0,0,0,0,0,15
SSC40137,5,0,0,0,0,0,0,5
SSC40138,54,3,0,0,0,0,0,54
SSC40139,3,0,0,0,0,0,0,3
SSC40140,0,0,0,0,0,0,0,0
SSC40141,7,3,0,0,0,0,0,14
SSC40142,238,15,17,0,0,0,3,279
SSC40143,4,0,0,0,0,0,0,4
SSC40144,3,0,0,0,0,0,0,6
SSC40145,136,7,0,0,0,0,0,147
SSC40146,42,0,4,0,0,0,3,48
SSC40147,3,0,0,0,0,0,0,7
SSC40148,14,0,0,0,0,0,0,15
SSC40149,3,0,0,0,0,0,0,3
SSC40150,4,0,0,0,0,0,0,6
SSC40151,17,3,0,0,0,0,0,26
SSC40152,0,0,0,0,0,0,0,0
SSC40153,273,26,11,3,0,0,0,325
SSC40154,0,0,0,0,0,0,0,0
SSC40155,4,0,0,0,0,0,0,4
SSC40156,0,0,0,0,0,0,0,0
SSC40157,8,0,0,0,0,0,0,8
SSC40158,446,32,13,0,0,0,0,491
SSC40159,4,0,0,0,0,0,0,4
SSC40160,338,31,7,3,0,0,3,374
SSC40161,10,0,0,0,0,0,0,10
SSC40162,8,0,0,0,0,0,0,9
SSC40163,27,4,0,0,0,0,0,24
SSC40164,433,21,14,4,0,0,4,476
SSC40165,194,15,5,0,0,0,0,208
SSC40166,3,0,0,0,0,0,0,3
SSC40167,493,30,7,3,0,0,0,529
SSC40168,0,0,0,0,0,0,0,0
SSC40169,0,0,0,0,0,0,0,0
SSC40170,3,0,0,0,0,0,0,3
SSC40171,7,0,0,0,0,0,0,7
SSC40172,19,0,3,0,0,0,0,20
SSC40173,0,0,0,0,0,0,0,0
SSC40174,45,6,0,0,0,0,0,55
SSC40175,3,0,4,0,0,0,0,8
SSC40176,19,3,0,0,0,0,0,20
SSC40177,4,0,0,0,0,0,0,4
SSC40178,20,0,0,0,0,0,0,25
SSC40179,7,0,0,0,0,0,0,7
SSC40180,7,0,0,0,0,0,0,7
SSC40181,26,0,0,0,0,0,0,27
SSC40182,10,0,3,0,0,0,0,15
SSC40183,3,0,0,0,0,0,0,3
SSC40184,0,0,0,0,0,0,0,0
SSC40185,0,0,0,0,0,0,0,0
SSC40186,10,0,0,0,0,0,0,10
SSC40187,0,0,0,0,0,0,0,0
SSC40188,10,3,0,0,0,0,0,15
SSC40189,0,0,0,0,0,0,0,0
SSC40190,20,0,0,0,0,0,0,20
SSC40191,0,0,0,0,0,0,0,0
SSC40192,361,21,8,0,0,0,3,400
SSC40193,79,3,7,0,0,0,0,91
SSC40194,0,0,0,0,0,0,0,0
SSC40195,10,0,0,0,0,0,0,18
SSC40196,675,78,52,13,0,0,3,827
SSC40197,31,3,0,0,0,0,0,35
SSC40198,8,0,0,0,0,0,0,8
SSC40199,12,0,0,0,0,0,0,20
SSC40200,7,0,0,0,0,0,0,6
SSC40201,0,0,0,0,0,0,0,0
SSC40202,0,0,0,0,0,0,0,0
SSC40203,49,8,3,0,0,0,5,66
SSC40204,5,0,0,0,0,0,0,5
SSC40205,8,0,0,0,0,0,0,12
SSC40206,7,0,0,0,0,0,0,8
SSC40207,0,0,0,0,0,0,0,0
SSC40208,4,0,0,0,0,0,0,5
SSC40209,15,0,3,0,0,0,0,18
SSC40210,272,18,5,3,0,0,0,301
SSC40211,838,36,26,4,3,0,3,914
SSC40212,7,0,0,0,0,0,0,7
SSC40213,12,3,3,0,0,0,0,19
SSC40214,0,0,0,0,0,0,0,0
SSC40215,0,0,0,0,0,0,0,0
SSC40216,0,0,0,0,0,0,0,0
SSC40217,0,0,0,0,0,0,0,0
SSC40218,3,0,0,0,0,0,0,3
SSC40219,3,0,0,0,0,0,0,8
SSC40220,18,0,0,0,0,0,0,17
SSC40221,0,0,0,0,0,0,0,0
SSC40222,3,0,0,0,0,0,0,3
SSC40223,0,0,0,0,0,0,0,0
SSC40224,3,0,0,0,0,0,0,3
SSC40225,53,3,3,0,0,0,0,61
SSC40226,3,0,0,0,0,0,0,3
SSC40227,5,0,0,0,0,0,0,5
SSC40228,13,3,0,0,0,0,0,17
SSC40229,3,0,0,0,0,0,0,3
SSC40230,9,0,0,0,0,0,0,9
SSC40231,0,0,0,0,0,0,0,0
SSC40232,0,0,0,0,0,0,0,0
SSC40233,3,0,0,0,0,0,0,3
SSC40234,0,0,0,0,0,0,0,0
SSC40235,7,0,0,0,0,0,0,10
SSC40236,138,16,10,4,0,0,3,170
SSC40237,20,0,0,0,0,0,0,20
SSC40238,15,0,0,0,0,0,0,20
SSC40239,3,0,0,0,0,0,0,3
SSC40240,3,0,0,0,0,0,0,3
SSC40241,106,10,3,3,0,0,0,123
SSC40242,17,3,0,0,0,0,0,16
SSC40243,3,0,0,0,0,0,0,4
SSC40244,89,9,0,0,0,0,0,92
SSC40245,0,0,0,0,0,0,0,0
SSC40246,4,0,0,0,0,0,0,9
SSC40247,242,14,3,3,0,0,0,263
SSC40248,87,3,0,0,0,0,0,94
SSC40249,11,0,0,0,0,0,0,10
SSC40250,0,0,0,0,0,0,0,3
SSC40251,0,0,0,0,0,0,0,0
SSC40252,0,0,0,0,0,0,0,0
SSC40253,0,0,0,0,0,0,0,0
SSC40254,328,49,33,8,3,0,3,421
SSC40255,350,48,39,5,0,0,0,446
SSC40256,205,14,0,3,0,0,0,226
SSC40257,234,12,14,0,0,0,0,261
SSC40258,307,13,14,0,0,0,0,336
SSC40259,271,23,5,0,0,0,0,297
SSC40260,75,0,3,0,0,0,0,81
SSC40261,3,0,0,0,0,0,0,3
SSC40262,3,0,0,0,0,0,0,3
SSC40263,14,6,0,3,0,0,0,20
SSC40264,370,27,11,3,0,0,3,422
SSC40265,0,0,0,0,0,0,0,0
SSC40266,8,0,0,0,0,0,0,8
SSC40267,73,8,3,0,0,0,0,83
SSC40268,0,0,0,0,0,0,0,0
SSC40269,7,0,0,0,0,0,0,9
SSC40270,6,0,0,0,0,0,0,4
SSC40271,336,23,9,0,0,0,0,366
SSC40272,37,3,4,0,0,0,0,44
SSC40273,0,0,0,0,0,0,0,0
SSC40274,13,0,0,0,0,0,0,13
SSC40275,100,4,0,0,0,0,0,111
SSC40276,3,0,0,0,0,0,0,3
SSC40277,32,5,5,0,0,0,0,45
SSC40278,9,0,0,0,0,0,0,6
SSC40279,5,0,0,0,0,0,0,5
SSC40280,90,4,0,0,0,0,0,93
SSC40281,3,0,0,0,0,0,0,3
SSC40282,3,0,0,0,0,0,0,3
SSC40283,0,0,0,0,0,0,0,0
SSC40284,153,4,0,0,0,0,0,158
SSC40285,516,16,13,0,0,0,0,547
SSC40286,3,0,0,0,0,0,0,3
SSC40287,3,0,0,0,0,0,0,4
SSC40288,9,0,0,0,0,0,0,9
SSC40289,87,9,3,0,0,0,0,103
SSC40290,13,3,0,0,0,0,0,18
SSC40291,10,0,0,0,0,0,0,10
SSC40292,8,0,0,0,0,0,0,8
SSC40293,96,8,3,5,0,0,3,113
SSC40294,20,0,0,0,0,0,0,25
SSC40295,9,0,0,0,0,0,0,9
SSC40296,0,0,0,0,0,0,0,0
SSC40297,32,3,3,0,0,0,0,39
SSC40298,10,0,0,0,0,0,0,12
SSC40299,4,3,0,0,0,0,0,7
SSC40300,0,0,0,0,0,0,0,3
SSC40301,15,0,0,0,0,0,0,21
SSC40302,35,4,3,0,0,0,0,37
SSC40303,12,3,0,0,0,0,0,15
SSC40304,14,0,0,0,0,0,0,16
SSC40305,3,0,0,0,0,0,0,3
SSC40306,3,0,0,0,0,0,0,3
SSC40307,4,0,0,0,0,0,0,3
SSC40308,3,0,0,0,0,0,0,6
SSC40309,12,0,0,0,0,0,0,12
SSC40310,45,3,3,0,0,0,0,56
SSC40311,560,51,17,3,0,0,0,623
SSC40312,5,0,0,0,0,0,0,8
SSC40313,3,0,0,0,0,0,0,3
SSC40314,21,3,3,0,0,0,0,22
SSC40315,119,12,3,0,0,0,0,133
SSC40316,79,4,10,0,0,0,0,94
SSC40317,14,0,0,0,0,0,0,13
SSC40318,0,0,0,0,0,0,0,7
SSC40319,251,20,7,0,0,0,0,276
SSC40320,169,17,3,0,0,0,0,191
SSC40321,374,16,14,3,0,0,0,408
SSC40322,1109,136,96,20,0,4,10,1377
SSC40323,27,0,0,0,0,0,0,26
SSC40324,17,3,3,0,0,0,0,25
SSC40325,5,0,0,0,0,0,0,9
SSC40326,132,7,0,0,0,0,3,151
SSC40327,346,25,14,8,3,0,0,396
SSC40328,123,7,5,3,0,0,0,140
SSC40329,47,3,0,0,0,0,0,56
SSC40330,13,0,0,0,0,0,0,13
SSC40331,0,0,0,0,0,0,0,0
SSC40332,323,16,8,3,0,0,0,355
SSC40333,95,4,0,0,0,0,0,96
SSC40334,6,0,0,0,0,0,0,7
SSC40335,10,0,0,0,0,0,0,10
SSC40336,12,0,0,0,0,0,0,12
SSC40337,3,0,0,0,0,0,0,3
SSC40338,38,3,3,0,0,0,0,39
SSC40339,43,3,7,0,0,0,0,49
SSC40340,0,0,0,0,0,0,0,0
SSC40341,0,0,0,0,0,0,0,0
SSC40342,11,0,0,0,0,0,0,12
SSC40343,0,0,0,0,0,0,0,0
SSC40344,3,0,0,0,0,0,0,3
SSC40345,0,0,0,0,0,0,0,0
SSC40346,7,0,0,0,0,0,0,7
SSC40347,118,8,3,0,0,0,0,136
SSC40348,5,0,0,0,0,0,0,12
SSC40349,9,0,0,0,0,0,0,15
SSC40350,359,52,38,9,0,0,7,471
SSC40351,276,15,7,5,0,0,0,309
SSC40352,31,0,0,3,0,0,0,38
SSC40353,0,0,0,0,0,0,0,0
SSC40354,0,0,0,0,0,0,0,0
SSC40355,5,0,0,0,0,0,0,5
SSC40356,3,0,0,0,0,0,0,3
SSC40357,8,0,0,0,0,0,0,14
SSC40358,15,0,0,0,0,0,0,11
SSC40359,448,33,12,6,0,0,3,506
SSC40360,3,0,0,0,0,0,0,3
SSC40361,69,10,0,0,0,0,0,77
SSC40362,4,0,0,0,0,0,0,10
SSC40363,63,5,11,0,0,0,0,79
SSC40364,5,0,0,0,0,0,0,5
SSC40365,0,0,0,0,0,0,0,0
SSC40366,0,0,0,0,0,0,0,0
SSC40367,255,30,7,0,0,0,3,291
SSC40368,3,3,0,0,0,0,0,3
SSC40369,21,0,0,0,0,0,0,20
SSC40370,43,3,4,3,0,0,0,50
SSC40371,12,0,0,0,0,0,0,13
SSC40372,3,0,0,0,0,0,0,3
SSC40373,43,6,3,0,0,0,0,55
SSC40374,3,0,0,0,0,0,0,3
SSC40375,211,6,6,0,0,0,0,226
SSC40376,8,0,0,0,0,0,0,8
SSC40377,10,0,0,0,0,0,0,11
SSC40378,0,0,0,0,0,0,0,0
SSC40379,11,3,0,0,0,0,0,15
SSC40380,52,10,0,0,0,0,0,59
SSC40381,0,0,0,0,0,0,0,0
SSC40382,0,0,0,0,0,0,0,0
SSC40383,23,0,0,0,0,0,0,23
SSC40384,140,7,3,0,0,0,0,153
SSC40385,356,28,5,4,0,0,0,395
SSC40386,31,3,0,0,0,0,0,27
SSC40387,18,3,0,0,0,0,0,24
SSC40388,0,0,0,0,0,0,0,0
SSC40389,0,0,0,0,0,0,0,0
SSC40390,28,3,3,0,0,0,0,31
SSC40391,355,33,12,0,0,0,0,400
SSC40392,12,5,0,0,0,0,0,14
SSC40393,57,18,7,5,0,0,0,85
SSC40394,302,52,41,10,0,0,3,406
SSC40395,276,24,29,3,3,0,3,339
SSC40396,143,20,16,0,0,0,0,179
SSC40397,170,27,20,7,0,0,3,236
SSC40398,243,38,26,4,0,0,3,310
SSC40399,147,16,16,9,0,0,3,186
SSC40400,277,32,19,0,4,0,0,327
SSC40401,37,0,0,0,0,0,0,38
SSC40402,13,0,0,0,0,0,0,11
SSC40403,9,4,0,0,0,0,0,12
SSC40404,7,0,0,0,0,0,0,7
SSC40405,7,0,0,0,0,0,0,7
SSC40406,224,29,21,0,0,0,5,276
SSC40407,504,27,18,12,0,0,0,560
SSC40408,178,12,4,0,0,0,0,190
SSC40409,8,0,0,0,0,0,0,8
SSC40410,0,0,0,0,0,0,0,0
SSC40411,106,11,0,7,0,0,0,122
SSC40412,4,0,0,0,0,0,0,6
SSC40413,54,3,5,0,0,0,0,66
SSC40414,0,0,0,0,0,0,0,3
SSC40415,3,0,0,0,0,0,0,3
SSC40416,147,5,7,0,0,0,0,158
SSC40417,165,21,11,3,0,0,0,197
SSC40418,163,17,10,0,0,0,0,194
SSC40419,452,47,29,4,0,0,3,542
SSC40420,29,0,3,0,0,0,0,35
SSC40421,4,0,0,0,0,0,0,4
SSC40422,97,5,0,0,0,0,0,104
SSC40423,81,4,5,0,0,0,3,94
SSC40424,386,39,24,4,0,0,3,452
SSC40425,0,0,0,0,0,0,0,0
SSC40426,3,0,0,0,0,0,0,3
SSC40427,22,0,0,0,0,0,0,23
SSC40428,195,13,0,0,0,0,3,214
SSC40429,454,24,12,14,0,0,0,496
